19:09:02 [SYS] Hitom公网GPS接入系统 Version:1.2.0.6 
19:09:02 [SYS] Build Time:Jul 15 2013 18:40:02 
19:09:03 [SYS] LocalIP: LocalPort:9001 老式终端监听失败！ 
19:09:03 [SYS] LocalIP: LocalPort:10002 新式终端监听失败！ 
19:09:03 [SYS] RemoteIP:192.168.1.132 RemotePort:9003 LocalIP:192.168.1.132 启动接入至分发服务成功！ 
19:09:03 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:10 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:16 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:22 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:29 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:35 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:42 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:49 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:09:56 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:03 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:09 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:16 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:23 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:30 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:37 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:43 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:49 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:10:56 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:03 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:10 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:16 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:22 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:29 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:36 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:42 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:49 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:11:55 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:02 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:09 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:16 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:23 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:29 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:36 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:42 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:48 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:12:55 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:00 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:07 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:14 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:20 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:26 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:33 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:40 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:47 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:13:54 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:00 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:07 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:14 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:21 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:27 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:34 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:41 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:48 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:14:55 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:00 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:07 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:14 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:21 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:28 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:33 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:39 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:46 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:52 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:15:59 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:06 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:12 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:19 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:25 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:31 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:38 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:44 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:51 [CPubToCon][ID:639943528] OnConnectError 继续重连
19:16:58 [CPubToCon][ID:639943528] OnConnectError 继续重连
